NSS,Nombre,Apellido,contrato_completo,codigo_departamento
824-08-9038,Scottie,Rhubottom,0,9
854-98-7540,Ken,Althrope,0,1
633-63-9444,Haily,O'Harney,0,2
473-06-0924,Marietta,Thorneloe,0,3
429-69-2560,Alejandra,Braddon,1,4
513-49-7957,Osmund,Hugonin,0,5
787-87-3662,Adler,Onn,1,6
353-74-8554,Fraze,Kirman,0,7
523-75-3526,Dona,Covelle,1,8
631-29-7307,Petronille,Rainger,1,9
870-58-7182,Micky,Schruyer,1,1
646-48-7336,Selig,Whiteford,0,2
824-98-6862,Nicolina,Boylund,0,3
432-85-4940,Artemus,Pennyman,0,4
357-76-4091,Ianthe,Chatband,1,5
654-70-6588,Sybilla,Andreolli,1,6
614-68-7894,Erasmus,Cicchetto,0,7
884-77-9638,Charil,Easterfield,1,8
562-32-6409,Angelina,Villa,0,9
605-87-2462,Ole,Cornwall,0,1
703-33-7440,Alyosha,Humphrey,1,2
298-89-0037,Odelinda,Fowlie,0,3
631-02-9037,Arabela,Fortman,1,4
212-01-2751,Kimberlyn,Canas,1,5
772-32-3854,Nevins,Towers,1,6
775-38-4710,Gregorius,Revell,1,7
484-39-2586,Gasper,Kares,0,8
678-77-9898,Patrice,Baline,0,9
477-42-3361,Aurthur,D'Aeth,0,1
618-26-0671,Erda,Aluard,0,2
283-70-1704,Tabb,Cookley,1,3
365-80-5803,Nickolaus,Gimbart,0,4
358-53-5303,Cristobal,Vasilic,1,5
349-46-1567,Dukey,Godlip,1,6
556-56-1059,Amelina,Braisby,0,7
627-76-2063,Penni,Leopard,0,8
571-19-9985,Brynne,Krabbe,0,9
328-19-8133,Ardath,Sawell,1,1
185-49-4764,Rachael,Weich,1,2
732-43-4335,Pet,Wegner,0,3
610-92-0847,Rodolph,Wrathall,1,4
760-89-9226,Ambros,Livick,1,5
330-35-6460,Tracey,Obey,1,6
381-37-5124,Bessie,Winspare,1,7
120-61-6693,Mellie,Rosetti,0,8
629-27-5854,Rip,Cremen,0,9
854-17-1284,Randa,Comrie,1,1
290-96-7043,Etty,Gratton,0,2
361-93-0568,Myrvyn,Rous,0,3
461-42-3512,Gus,Andrelli,1,4
852-70-4433,Storm,Bockmaster,1,5
829-89-5370,Mair,Miko,0,6
570-80-1076,Janifer,Esilmon,0,7
378-12-1353,Vyky,Hannay,0,8
843-55-4371,Lyon,Pol,0,9
602-01-2380,Bowie,Pfaffel,0,1
262-82-2743,Claudina,Phizackarley,1,2
533-02-3177,Aurelie,Harkin,0,3
760-46-5430,Madelena,Cargo,1,4
339-35-1900,Erich,Hallett,0,5
466-14-3216,Josefina,Soames,1,6
148-89-3310,Ryan,Bake,1,7
648-25-4072,Everett,Dudman,0,8
120-38-2269,Nomi,Palatini,0,9
