Nombre,Apellido,Coordenadas,Fecha_nacimiento,NSS_elfo
Montague,McIlmorie,51.5775677.16.4684556,2010-06-29,235-84-5892
Tannie,Imlock,29.689847.121.28259,2011-09-28,621-70-4146
Ede,Marriage,-17.3079902.-40.1862129,2016-12-04,824-98-6862
Bancroft,Symms,29.763892.121.513271,2015-07-05,870-58-7182
Sianna,Lackemann,52.3982331.13.2448535,2006-03-26,441-99-2746
Cissy,Hellen,33.9041552.-117.9307584,2009-10-22,203-20-6236
Osbourn,Knight,41.1588991.-8.0638522,2015-04-16,529-46-4489
Aland,Cruickshanks,35.2487361.36.5715924,2019-11-21,125-26-1788
Kania,Bowra,40.1598524.116.8212507,2021-06-22,147-59-6882
Darbee,Gawne,15.690893.120.409906,2006-04-04,155-88-6490
Jayme,Biggerdike,23.7221111.-15.9347384,2021-08-08,112-90-0210
Barbabas,Croad,34.137139.120.227624,2012-12-16,120-38-2269
Bertie,Fellibrand,40.2740679.22.5416683,2012-02-23,842-07-7147
Gaven,Rhodus,29.689847.121.28259,2019-01-23,203-20-6236
Britt,Lording,9.9356473.-84.0792946,2013-08-22,642-72-0887
Starlin,Drinkwater,-7.2599544.112.7554346,2011-12-06,133-46-3326
Man,Tartt,-3.3939043.120.3608455,2008-02-23,209-63-3629
Laina,Romero,-17.3079902.-40.1862129,2016-01-22,772-32-3854
Branden,Hoys,45.1181926.21.2944883,2021-03-13,442-99-1771
Emanuel,Doore,32.399108.119.443303,2015-12-21,530-07-9948
Latia,Glowacki,41.1588991.-8.0638522,2006-07-22,288-31-2502
Sullivan,Lagneaux,14.8925962.-88.7812586,2008-09-29,328-19-8133
Fayette,Jonathon,-7.2599544.112.7554346,2012-11-12,715-43-1756
Roarke,Sheerman,23.7221111.-15.9347384,2018-01-16,818-03-8049
Concordia,Sanbroke,29.763892.121.513271,2019-07-07,136-65-7573
Emilio,Kroll,-17.3079902.-40.1862129,2013-07-01,874-96-5035
Barry,Lardez,-8.7867.121.1256,2015-03-04,119-72-1967
Sheilah,Hryniewicz,51.6403247.21.7444457,2018-05-10,586-80-6118
Bo,Bestman,4.625907.-75.761865,2018-12-04,440-93-8657
Gwenny,Sleight,35.8325673.139.7424494,2015-03-21,899-39-9866
Crysta,Searchfield,50.772008.22.956207,2011-05-06,614-68-7894
Hyacinthia,Crottagh,29.763892.121.513271,2010-07-11,843-69-2139
Kassia,Clemes,-7.5749752.110.6317907,2020-06-25,678-77-9898
Lilla,Legges,4.625907.-75.761865,2017-09-15,842-07-7147
Dulsea,Hakey,53.6190091.-1.2780726,2005-02-12,150-69-6528
Cassius,Willstrop,36.284107.100.620031,2008-11-02,461-42-3512
Sherri,Yakobowitz,-8.154229.111.7778618,2004-04-01,788-94-2157
Alene,Hazlewood,40.4999888.22.8766281,2012-07-24,498-37-5352
Aluin,Kermannes,50.772008.22.956207,2018-10-24,785-28-2150
Klarrisa,Shoreson,-8.154229.111.7778618,2014-07-15,529-46-4489
Suzanna,Heeks,-17.3013059.31.3198491,2009-02-15,889-85-8026
Dianne,McInerney,20.55832.106.56882,2015-02-28,435-07-0776
Ruy,Beldom,-7.2599544.112.7554346,2004-01-29,141-83-0455
Georgiana,Yarrell,56.907241.24.0317249,2013-10-27,631-29-7307
Foster,Iacopetti,36.284107.100.620031,2005-08-24,181-84-0736
Isidoro,Parriss,47.0184615.-68.1430761,2011-01-22,442-99-1771
Beulah,Sorbey,-32.9413658.-60.652833,2013-02-21,880-50-7691
Collete,Calyton,-8.0914709.112.718192,2014-04-18,388-45-4886
Nils,Harmson,41.1588991.-8.0638522,2015-08-07,357-95-2612
Mitzi,Mauvin,36.284107.100.620031,2013-08-22,355-70-1376
Eduardo,Premble,-17.3079902.-40.1862129,2005-05-31,633-53-1070
Prescott,Isoldi,25.410654.107.88645,2007-04-08,103-21-3591
Ferne,Habgood,9.9356473.-84.0792946,2017-01-07,585-46-3884
Adolphus,Willbond,40.1598524.116.8212507,2019-05-17,210-65-1610
Yovonnda,Iacobini,47.3362701.-1.5349069,2013-12-19,856-55-4799
Pier,Kearney,52.3982331.13.2448535,2006-01-01,441-99-2746
Devinne,Bartak,53.0210495.27.554013,2015-06-16,514-36-5443
Bertie,Volcker,-7.5749752.110.6317907,2010-10-03,235-84-5892
Brittaney,Baldassi,-7.2599544.112.7554346,2007-04-26,888-43-5870
Suzy,Lashford,-7.5088.108.2386,2009-05-21,147-59-6882
Constanta,Livermore,44.1039762.19.2997218,2007-03-22,133-46-3326
Rhianna,McCutheon,27.0449005.84.8672171,2017-12-13,255-45-8489
Franklin,Garbar,47.5113895.1.820875,2019-01-22,608-81-5970
Vonnie,Fuentez,59.9416014.10.8972927,2017-08-18,596-81-5370
Chaunce,Wilks,48.87561.2.302597,2006-08-31,862-34-0761
Taddeo,Pearce,13.4956.123.289,2017-10-18,235-84-5892
Fidelity,Grzegorecki,8.9172672.17.5505152,2006-08-05,837-64-8421
Koressa,Gapper,52.4585616.20.1010662,2016-05-28,785-28-2150
Martynne,Cowgill,52.416925.13.6492904,2008-07-22,772-32-3854
Bernardine,Kiddell,52.416925.13.6492904,2013-07-20,486-17-5843
Yule,Seago,14.9269532.-89.7161012,2011-09-10,734-97-2019
Cam,Elion,-3.3939043.120.3608455,2014-08-23,473-42-5007
Iggy,Aizikovich,27.0449005.84.8672171,2013-07-30,820-68-9468
Karyn,Pahl,27.318852.115.444319,2014-07-25,705-67-3178
Valeda,Lohoar,15.690893.120.409906,2004-01-19,712-90-5628
Flora,Hitcham,33.9041552.-117.9307584,2008-12-03,100-28-5320
Madlen,Vinson,51.991495.4.3557381,2006-03-08,638-73-1421
Gerardo,Sneesby,40.401045.117.998902,2009-05-09,366-15-5243
Adaline,Kimmins,56.907241.24.0317249,2015-03-09,226-21-3101
Kingsly,Van Arsdall,45.1099868.20.7477906,2004-02-22,388-45-4886
Merline,Beagan,51.965973.21.419225,2011-06-07,270-51-4474
Patience,Croutear,47.5113895.1.820875,2014-02-04,295-53-7731
Helyn,Ruzicka,44.1039762.19.2997218,2012-03-30,112-90-0210
Lily,Attwater,47.0184615.-68.1430761,2017-11-20,638-73-1421
Arlyne,Lobe,-1.8053216.138.4687311,2021-04-17,288-31-2502
Rodrique,Greg,32.129766.107.249131,2015-10-29,416-03-7287
Peder,Adamiec,51.5775677.16.4684556,2019-07-10,842-07-7147
Flem,Sedgmond,-8.154229.111.7778618,2007-12-05,357-95-2612
Nolan,Kilius,41.01.-85.06,2006-11-12,328-19-8133
Clayborn,Deppe,-7.2599544.112.7554346,2015-09-16,353-74-8554
Alyss,Han,-10.1573402.123.6010244,2021-06-27,633-53-1070
Randolf,St. Quintin,31.267134.120.7062535,2010-03-14,837-64-8421
Shelley,Felce,-6.858925.108.2080973,2017-05-21,280-86-7171
Lita,Shalloo,-8.0914709.112.718192,2009-05-02,229-58-5624
Emmaline,McCartan,53.0210495.27.554013,2007-03-05,771-87-2553
Osborne,Omond,-3.3939043.120.3608455,2014-04-21,420-72-9180
Waldemar,Sanpher,51.965973.21.419225,2004-07-26,818-03-8049
Mari,McIlmurray,51.5775677.16.4684556,2005-06-29,678-77-9898
Cacilia,Caston,11.4297007.122.5987302,2007-07-23,529-46-4489
Ike,Hannaby,-7.5749752.110.6317907,2014-10-30,120-38-2269
Hildagarde,Golton,8.9172672.17.5505152,2011-04-23,697-26-0480
Zane,Babar,-23.5113691.-46.872942,2016-05-08,633-53-1070
Godard,Solman,4.8413815.-72.9899505,2009-05-31,386-65-0950
Shaine,Garley,31.887402.115.440283,2010-05-31,812-71-4110
Hermione,Persent,-7.2763.108.3561,2013-11-26,289-16-7105
Sidonnie,Mortlock,-22.2454935.-50.7031569,2009-06-06,803-91-6287
Ben,Bradbeer,51.5775677.16.4684556,2009-01-31,793-45-3787
Amos,Shillan,47.5113895.1.820875,2016-02-15,185-88-0710
Jory,Windram,-10.1573402.123.6010244,2005-03-04,530-07-9948
Annora,Bartoloma,14.6031411.121.0959448,2007-10-11,771-87-2553
Gino,Darrel,33.9041552.-117.9307584,2007-01-29,852-70-4433
Rudd,Bonass,9.9356473.-84.0792946,2021-05-28,787-57-3055
Asher,Dittson,40.2740679.22.5416683,2004-09-02,764-12-4773
Patten,Kenewel,-7.3175297.-63.9586111,2008-05-14,729-81-9612
Livvy,Murfett,43.9332185.-78.8439268,2008-06-16,440-93-8657
Yoshi,Hancox,-7.811056.108.438797,2008-12-21,875-56-1945
Costanza,Witheridge,31.267134.120.7062535,2012-12-31,875-56-1945
Allyson,Greedier,-7.5088.108.2386,2020-03-02,486-17-5843
Mallory,Matuszkiewicz,31.19793.94.03543,2021-11-15,634-43-5574
Normie,Martschik,51.5775677.16.4684556,2016-10-30,493-26-7243
Jone,Gallimore,42.6.25.55,2019-07-08,262-82-2743
Vally,Crates,8.9172672.17.5505152,2004-01-31,785-28-2150
Cindelyn,Yewdall,32.399108.119.443303,2004-02-09,456-06-3527
Joseph,Anshell,8.9172672.17.5505152,2015-01-31,366-15-5243
Henry,Klebes,40.2740679.22.5416683,2014-07-08,899-39-9866
Dalenna,Forrestor,-10.1573402.123.6010244,2015-04-08,633-63-9444
Archie,Britian,15.690893.120.409906,2020-07-23,684-95-4985
Jacenta,Meys,55.8876933.48.3613188,2008-04-28,125-26-1788
Alphard,Melland,47.0184615.-68.1430761,2016-10-10,697-26-0480
Nisse,Kemmish,25.410654.107.88645,2005-05-13,872-14-3443
Lulita,Gleadhall,11.4297007.122.5987302,2021-03-05,217-54-9881
Ema,Gilchrist,34.137139.120.227624,2019-05-24,358-53-5303
Michele,Woodison,14.9269532.-89.7161012,2012-02-05,764-12-4773
Bevvy,Le Lievre,-17.3013059.31.3198491,2021-03-16,775-38-4710
Constancia,Johnys,-8.0914709.112.718192,2019-02-24,435-07-0776
Denny,Peckitt,13.4956.123.289,2013-06-09,802-17-3807
Penni,Ranvoise,27.318852.115.444319,2011-05-15,874-96-5035
Jaquenetta,Tarver,-8.7867.121.1256,2005-04-27,174-85-8992
Aurelia,Gentric,-7.5088.108.2386,2006-07-03,670-59-3319
Frederic,Gladdis,34.137139.120.227624,2008-03-27,150-69-6528
Johnette,Robertelli,35.8325673.139.7424494,2021-11-20,756-75-0609
Berke,Trotton,28.322781.-81.3912772,2004-10-02,870-58-7182
Kiri,Doughton,25.410654.107.88645,2006-08-28,353-74-8554
Constantia,Kaindl,-3.3939043.120.3608455,2014-09-09,484-39-2586
Gillie,Langhorne,-23.5113691.-46.872942,2011-08-06,586-80-6118
Ignazio,Blade,45.1181926.21.2944883,2014-06-14,119-72-1967
Dayna,Knappitt,29.689847.121.28259,2017-06-19,209-29-0219
Garth,Olford,-6.858925.108.2080973,2018-04-09,812-71-4110
Cristionna,Offiler,47.0184615.-68.1430761,2005-08-07,255-45-8489
Anette,Dumingo,-3.3939043.120.3608455,2009-04-21,498-37-5352
Nobe,Meuse,47.0184615.-68.1430761,2007-03-25,318-26-6203
Allys,Dommett,59.9162711.10.7067713,2009-08-29,889-85-8026
Lewiss,Beagles,36.284107.100.620031,2013-11-13,674-84-9845
Julina,Mitrikhin,29.689847.121.28259,2014-05-13,602-01-2380
Brianna,Pudden,-7.3175297.-63.9586111,2012-12-17,618-26-0671
Jenica,Hearson,4.8413815.-72.9899505,2009-03-26,521-06-3898
Stepha,Beales,28.322781.-81.3912772,2018-02-21,807-51-8509
Augustina,Currell,15.9898714.119.8798268,2008-06-01,416-03-7287
Erhard,Muncey,53.6190091.-1.2780726,2015-05-24,420-72-9180
Antonin,Klesl,15.9898714.119.8798268,2004-07-12,411-66-1135
Merla,Sor,53.7431909.18.6894607,2018-04-01,288-31-2502
Alysia,Cooney,4.625907.-75.761865,2004-11-09,318-26-6203
Norry,Egger,52.4585616.20.1010662,2015-05-14,344-80-7802
Merissa,Bidnall,-10.333333.-77.45,2011-08-22,270-51-4474
Dionne,Red,44.2136985.3.9996505,2007-09-29,890-61-0365
Stanfield,Fuke,41.01.-85.06,2017-08-29,164-58-1433
Avrom,Millson,14.9269532.-89.7161012,2005-01-01,565-69-1632
Michael,Talboy,-7.3175297.-63.9586111,2020-10-24,668-81-5565
Estella,Philipeaux,-23.5113691.-46.872942,2020-11-11,764-12-4773
Bathsheba,Boddymead,47.0184615.-68.1430761,2010-12-18,824-08-9038
Jacquette,Aberkirder,41.01.-85.06,2010-07-16,627-76-2063
Aryn,Athow,53.0210495.27.554013,2018-11-26,258-16-0592
Kalil,Jako,53.6190091.-1.2780726,2017-01-24,245-79-9487
Hamish,Feighney,51.965973.21.419225,2013-10-09,744-20-8251
Federica,Padillo,-17.3079902.-40.1862129,2021-09-26,854-37-0425
Jerald,Deners,33.378118.120.431234,2018-03-05,813-29-1232
Kary,Ogger,56.907241.24.0317249,2009-10-10,103-21-3591
Phillis,Medeway,37.7466201.23.9055737,2019-10-21,880-50-7691
Larissa,Wortt,43.9332185.-78.8439268,2009-09-22,854-17-1284
Emilia,Tapping,44.1039762.19.2997218,2013-09-27,744-18-4380
Thorin,Pitrollo,25.410654.107.88645,2007-02-25,529-46-4489
Susann,Judge,-6.858925.108.2080973,2017-11-21,100-28-5320
Berton,Scholtz,47.0184615.-68.1430761,2018-03-01,379-08-4161
Ad,Curzey,9.9356473.-84.0792946,2007-01-26,484-39-2586
Christan,Giffkins,53.7431909.18.6894607,2011-12-26,854-98-7540
Bard,Clout,43.9332185.-78.8439268,2012-07-18,386-65-0950
Talia,Lighten,31.887402.115.440283,2009-11-14,150-69-6528
Darline,Le Merchant,66.5299478.66.6127258,2015-01-08,295-53-7731
Francoise,Tuttle,31.267134.120.7062535,2016-01-07,402-38-3933
Arlen,Janssens,23.7221111.-15.9347384,2017-11-29,349-46-1567
Norri,Agglione,-17.3079902.-40.1862129,2009-01-04,843-55-4371
Kipper,Willetts,29.689847.121.28259,2007-07-21,226-21-3101
Caresse,Jachtym,43.4539508.42.0911606,2008-03-31,288-31-2502
Staffard,Jerrom,40.1598524.116.8212507,2015-09-07,813-29-1232
Lisle,Jouanet,40.1598524.116.8212507,2011-12-06,322-04-2202
Susette,Jeffreys,-10.1573402.123.6010244,2019-09-20,588-15-3062
Teddy,Verrillo,52.3982331.13.2448535,2009-04-11,361-93-0568
Baryram,Milthorpe,-17.3079902.-40.1862129,2021-10-20,298-89-0037
Car,Torre,13.2944036.123.483279,2006-10-12,353-74-8554
Alexi,Bru,8.9172672.17.5505152,2006-02-03,875-56-1945
Bobbye,Rosenstiel,20.55832.106.56882,2017-12-28,155-88-6490
Lisette,Schultes,15.9898714.119.8798268,2020-12-28,191-21-6363
Blondelle,Swires,36.284107.100.620031,2019-07-02,185-24-8487
Fey,Cawood,15.9898714.119.8798268,2015-08-09,875-56-1945
Dominic,Speachley,9.9356473.-84.0792946,2015-04-28,775-38-4710
Cyril,Emlyn,41.0716946.-8.0890423,2008-04-09,614-68-7894
Michele,Nelson,36.284107.100.620031,2009-03-05,649-94-2558
Cassandry,Rubra,48.87561.2.302597,2017-04-15,295-53-7731
Meaghan,Sawart,25.410654.107.88645,2020-07-14,289-61-6935
Berkie,Conibere,45.1099868.20.7477906,2013-04-23,634-43-5574
Israel,Daud,40.3159517.-7.9013121,2016-11-01,514-36-5443
Godwin,Maskelyne,47.0184615.-68.1430761,2013-11-17,676-41-6549
Caroline,Hadgkiss,47.3362701.-1.5349069,2006-03-17,888-43-5870
