Nombre,Apellido,Coordenadas,Nombre_juguete
Friederike,Boumphrey,-3.3939043.120.3608455,Mall Madness
Friederike,Boumphrey,-3.3939043.120.3608455,Tinker Toys
Friederike,Boumphrey,-3.3939043.120.3608455,Pay Day
Garth,Olford,-6.858925.108.2080973,Fortune Teller
Garth,Olford,-6.858925.108.2080973,Styling Head
Garth,Olford,-6.858925.108.2080973,Bratz (2001)
Garth,Olford,-6.858925.108.2080973,Jenga
Georgiana,Yarrell,56.907241.24.0317249,Lite Brite
Georgiana,Yarrell,56.907241.24.0317249,Play Dough
Georgiana,Yarrell,56.907241.24.0317249,Bumble Ball
Georgiana,Yarrell,56.907241.24.0317249,Webkinz
Gerald,Phillput,59.9416014.10.8972927,Neopets
Gerald,Phillput,59.9416014.10.8972927,Finger Monsters
Gillie,Langhorne,-23.5113691.-46.872942,Bop It
Gillie,Langhorne,-23.5113691.-46.872942,Lincoln Logs
Gillie,Langhorne,-23.5113691.-46.872942,Pogosticks
Gillie,Langhorne,-23.5113691.-46.872942,Orbeez
Gino,Darrel,33.9041552.-117.9307584,Fisher Price Farm
Gino,Darrel,33.9041552.-117.9307584,iPod
Godard,Solman,4.8413815.-72.9899505,Happy Meal Toys
Godard,Solman,4.8413815.-72.9899505,Paddle Ball
Godard,Solman,4.8413815.-72.9899505,Polly Pocket
Godwin,Maskelyne,47.0184615.-68.1430761,Fisher Price Rock a Stack
Guillermo,Greenrodd,29.763892.121.513271,Mighty Beanz !!!
Hamish,Feighney,51.965973.21.419225,Toy Car
Hamish,Feighney,51.965973.21.419225,Scratch and Sniff Stickers
Hamish,Feighney,51.965973.21.419225,Slinky
Helyn,Ruzicka,44.1039762.19.2997218,Let's Go Fishing
Helyn,Ruzicka,44.1039762.19.2997218,Fisher Price Rock a Stack
Helyn,Ruzicka,44.1039762.19.2997218,Idog
Helyn,Ruzicka,44.1039762.19.2997218,Orbeez
Henry,Klebes,40.2740679.22.5416683,Art Kits
Herbie,Osburn,14.6031411.121.0959448,Uno
Herbie,Osburn,14.6031411.121.0959448,Playmobil
Herbie,Osburn,14.6031411.121.0959448,Barrel of Monkeys
Herbie,Osburn,14.6031411.121.0959448,Lite Brite
Hermione,Persent,-7.2763.108.3561,Sorry
Huntlee,Measham,43.4539508.42.0911606,Mighty Beanz !!!
Huntlee,Measham,43.4539508.42.0911606,Idog
Huntlee,Measham,43.4539508.42.0911606,Big Wheel
Huntlee,Measham,43.4539508.42.0911606,Play Dough
Hyacinthia,Crottagh,29.763892.121.513271,Moon Shoes
Hyacinthia,Crottagh,29.763892.121.513271,Twister
Hyacinthia,Crottagh,29.763892.121.513271,Fisher Price Rock a Stack
Iggy,Aizikovich,27.0449005.84.8672171,Stickle Bricks
Iggy,Aizikovich,27.0449005.84.8672171,Pillow Pets
Iggy,Aizikovich,27.0449005.84.8672171,Leapfrog Pad
Iggy,Aizikovich,27.0449005.84.8672171,Aqua Dots
Ignazio,Blade,45.1181926.21.2944883,Slap Bracelets
Ignazio,Blade,45.1181926.21.2944883,Toy Car
Ignazio,Blade,45.1181926.21.2944883,Tonka Trucks
Ignazio,Blade,45.1181926.21.2944883,Bumble Ball
Isabelle,Coton,52.4585616.20.1010662,Wooly Willy
Isabelle,Coton,52.4585616.20.1010662,Paper Dolls
Isabelle,Coton,52.4585616.20.1010662,School Bus Pop Up Play Tent
Ive,Jermyn,42.6.25.55,Paper Dolls
Jacenta,Meys,55.8876933.48.3613188,Space Hopper
Jacquette,Aberkirder,41.01.-85.06,Play Tea Set
Johnette,Robertelli,35.8325673.139.7424494,Elefun
Johnette,Robertelli,35.8325673.139.7424494,Mr. Potato Head
Johnette,Robertelli,35.8325673.139.7424494,Pay Day
Jonas,Tanswell,10.385548.125.213831,McDonald's McDino Changeables
Julina,Mitrikhin,29.689847.121.28259,Play Dough
Kalil,Jako,53.6190091.-1.2780726,Uno
Kalil,Jako,53.6190091.-1.2780726,Art Kits
Kalil,Jako,53.6190091.-1.2780726,Finger Monsters
Karyn,Pahl,27.318852.115.444319,Mad Libs
Karyn,Pahl,27.318852.115.444319,Transformers
Karyn,Pahl,27.318852.115.444319,Play Dough
Kingsly,Van Arsdall,45.1099868.20.7477906,Rainbow Loom
Larissa,Wortt,43.9332185.-78.8439268,Bop It
Larissa,Wortt,43.9332185.-78.8439268,Twister
Lewiss,Beagles,36.284107.100.620031,Aqua Dots
Lisette,Hazlehurst,-7.2763.108.3561,Sorry
Lisette,Schultes,15.9898714.119.8798268,Lego
Lisette,Schultes,15.9898714.119.8798268,Mall Madness
Lisette,Schultes,15.9898714.119.8798268,DS Lite
Lisette,Schultes,15.9898714.119.8798268,Gamecube
Lita,Shalloo,-8.0914709.112.718192,Corn Popper (1957)
Mace,Basler,-3.3186067.114.5943784,American Girl Doll
Mace,Basler,-3.3186067.114.5943784,Simon
Mace,Basler,-3.3186067.114.5943784,Orbeez
Madelyn,Mucci,56.0518037.92.9241062,This Thing
Madelyn,Mucci,56.0518037.92.9241062,Raggedy Ann
Madelyn,Mucci,56.0518037.92.9241062,DS Lite
Madlen,Vinson,51.991495.4.3557381,Chalk
Madlen,Vinson,51.991495.4.3557381,Shrinky Dinks (1973)
Madlen,Vinson,51.991495.4.3557381,Moon Shoes
Mallory,Matuszkiewicz,31.19793.94.03543,Crocodile Dentist
Mallory,Matuszkiewicz,31.19793.94.03543,Elefun
Mallory,Matuszkiewicz,31.19793.94.03543,Bouncy Balls
Mallory,Matuszkiewicz,31.19793.94.03543,Fisher Price Chatter Phone
Man,Tartt,-3.3939043.120.3608455,Teletubbies Dolls
Man,Tartt,-3.3939043.120.3608455,Pound Puppies
Man,Tartt,-3.3939043.120.3608455,Dance Mat
Man,Tartt,-3.3939043.120.3608455,Chalk
Mari,McIlmurray,51.5775677.16.4684556,Chalk
Mari,McIlmurray,51.5775677.16.4684556,Sky Dancers
Mari,McIlmurray,51.5775677.16.4684556,Shrinky Dinks (1973)
Marilee,Sperry,47.5113895.1.820875,Barrel of Monkeys
Marilee,Sperry,47.5113895.1.820875,Little Tikes Cozy Coupe Car (1979)
Marilee,Sperry,47.5113895.1.820875,Lite Brite
Marketa,Baglan,51.6403247.21.7444457,Pound Puppies
Marketa,Baglan,51.6403247.21.7444457,Lava Lamp
Marketa,Baglan,51.6403247.21.7444457,Shrinky Dinks (1973)
Marsha,Giller,13.2944036.123.483279,Cabbage Patch Kids
Marylee,Sherred,66.5299478.66.6127258,Art Kits
Marylee,Sherred,66.5299478.66.6127258,Sorry
Meaghan,Sawart,25.410654.107.88645,Build-A-Bear Workshop
Melany,Blyden,4.8413815.-72.9899505,See N Say
Melany,Blyden,4.8413815.-72.9899505,Little Tikes Cozy Coupe Car (1979)
Michael,Talboy,-7.3175297.-63.9586111,Lego
Mitzi,Mauvin,36.284107.100.620031,Leapfrog Pad
Natale,Sawl,-7.2763.108.3561,Fisher Price Chatter Phone
Nikaniki,Sills,40.1598524.116.8212507,Little Tikes Cozy Coupe Car (1979)
Nikaniki,Sills,40.1598524.116.8212507,Teletubbies Dolls
Nisse,Kemmish,25.410654.107.88645,Lava Lamp
Nisse,Kemmish,25.410654.107.88645,Fisher Price Farm
Normie,Martschik,51.5775677.16.4684556,Geomag
Normie,Martschik,51.5775677.16.4684556,Marbles
Norri,Agglione,-17.3079902.-40.1862129,Operation
Norry,Egger,52.4585616.20.1010662,Lite Brite
Norry,Egger,52.4585616.20.1010662,Game of Life
Olenka,Louys,-10.1573402.123.6010244,McDonald's McDino Changeables
Pancho,Kivits,23.7221111.-15.9347384,Hula Hoop
Pancho,Kivits,23.7221111.-15.9347384,Twister
Patrica,Coorington,47.0184615.-68.1430761,Chia Pets
Patrica,Coorington,47.0184615.-68.1430761,Big Wheel
Patrica,Coorington,47.0184615.-68.1430761,Lincoln Logs
Patten,Kenewel,-7.3175297.-63.9586111,Dance Mat
Patten,Kenewel,-7.3175297.-63.9586111,Tamagotchi
Peter,Peacock,20.55832.106.56882,Twister
Peter,Peacock,20.55832.106.56882,Dance Mat
Peter,Peacock,20.55832.106.56882,Sprirograph
Peter,Peacock,20.55832.106.56882,Pretty Pretty Princess
Phebe,Winckles,41.1588991.-8.0638522,Gym Scooters
Phebe,Winckles,41.1588991.-8.0638522,Rubik's Cube
Phebe,Winckles,41.1588991.-8.0638522,Yoyo
Pier,Kearney,52.3982331.13.2448535,Fisher Price Farm
Prescott,Isoldi,25.410654.107.88645,Etch a Sketch
Quent,Lehrle,26.99.8333333,Connect Four
Quent,Lehrle,26.99.8333333,Gym Scooters
Quent,Lehrle,26.99.8333333,Fisher Price Dog Pull Toy
Quent,Lehrle,26.99.8333333,Pick-Up Sticks
Rhianna,McCutheon,27.0449005.84.8672171,Zhu Zhu (2009)
Rhianna,McCutheon,27.0449005.84.8672171,Gameboy Advance
Ruy,Beldom,-7.2599544.112.7554346,Trouble
Ruy,Beldom,-7.2599544.112.7554346,Toy Kitchen
Ruy,Beldom,-7.2599544.112.7554346,Tech Decks
Ruy,Beldom,-7.2599544.112.7554346,Sit N Spin
Shelley,Felce,-6.858925.108.2080973,Calico Critters
Sherie,Dalloway,50.772008.22.956207,Big Wheel
Sherie,Dalloway,50.772008.22.956207,Tickle Me Elmo
Sherri,Yakobowitz,-8.154229.111.7778618,Shrinky Dinks (1973)
Stanfield,Fuke,41.01.-85.06,Webkinz
Stanfield,Fuke,41.01.-85.06,Car City Play Rug
Stanfield,Fuke,41.01.-85.06,Parachute Game
Stepha,Beales,28.322781.-81.3912772,Cat's Cradle
Stepha,Beales,28.322781.-81.3912772,Aqua Dots
Susette,Jeffreys,-10.1573402.123.6010244,Dear Diary Electronic Diary
Susette,Jeffreys,-10.1573402.123.6010244,Easy Bake Oven
Susette,Jeffreys,-10.1573402.123.6010244,My Size Barbie (90s)
Suzanna,Heeks,-17.3013059.31.3198491,Betty Spaghetti
Suzanna,Heeks,-17.3013059.31.3198491,Polly Pocket
Suzy,Lashford,-7.5088.108.2386,Tickle Me Elmo
Tannie,Imlock,29.689847.121.28259,Big Wheel
Tannie,Imlock,29.689847.121.28259,Fisher Price Doctor Kit
Thorin,Pitrollo,25.410654.107.88645,Tamagotchi
Thorin,Pitrollo,25.410654.107.88645,Heelys
Thorin,Pitrollo,25.410654.107.88645,Gym Scooters
Tommi,McMurty,15.690893.120.409906,Baby Alive
Tommi,McMurty,15.690893.120.409906,Leapfrog Pad
Tommi,McMurty,15.690893.120.409906,Mr. Potato Head
Trevar,McJury,25.410654.107.88645,Fisher Price Rock a Stack
Trevar,McJury,25.410654.107.88645,Poo-Chi
Trevar,McJury,25.410654.107.88645,Yoyo
Ulick,Childes,52.3982331.13.2448535,Lite Brite
Ulick,Childes,52.3982331.13.2448535,Stick-On Earings
Valeda,Lohoar,15.690893.120.409906,Shrinky Dinks (1973)
Valeda,Lohoar,15.690893.120.409906,Pound Puppies
Valeda,Lohoar,15.690893.120.409906,Pixel Chix
Valeda,Lohoar,15.690893.120.409906,Sit N Spin
Yovonnda,Iacobini,47.3362701.-1.5349069,Transformers
Yule,Seago,14.9269532.-89.7161012,Gym Scooters
