Nombre,Apellido,Coordenadas,Fecha_nacimiento,NSS_elfo
Cam,Elion,-3.3939043.120.3608455,2014-08-23,473-42-5007
Cammie,Shankster,-8.0914709.112.718192,2015-09-17,670-59-3319
Car,Torre,13.2944036.123.483279,2006-10-12,353-74-8554
Caresse,Jachtym,43.4539508.42.0911606,2008-03-31,288-31-2502
Cassandry,Rubra,48.87561.2.302597,2017-04-15,295-53-7731
Cassius,Willstrop,36.284107.100.620031,2008-11-02,461-42-3512
Chaunce,Wilks,48.87561.2.302597,2006-08-31,862-34-0761
Christan,Giffkins,53.7431909.18.6894607,2011-12-26,854-98-7540
Clo,Statham,37.7466201.23.9055737,2011-11-13,228-66-1149
Concordia,Sanbroke,29.763892.121.513271,2019-07-07,136-65-7573
Conrad,Bosence,-3.3939043.120.3608455,2015-07-06,174-85-8992
Constancia,Johnys,-8.0914709.112.718192,2019-02-24,435-07-0776
Constanta,Livermore,44.1039762.19.2997218,2007-03-22,133-46-3326
Constantia,Kaindl,-3.3939043.120.3608455,2014-09-09,484-39-2586
Cyril,Emlyn,41.0716946.-8.0890423,2008-04-09,614-68-7894
Dalenna,Forrestor,-10.1573402.123.6010244,2015-04-08,633-63-9444
Darb,Zotto,15.9898714.119.8798268,2011-05-20,590-32-7531
Dayna,Knappitt,29.689847.121.28259,2017-06-19,209-29-0219
Denny,Peckitt,13.4956.123.289,2013-06-09,802-17-3807
Devlin,Gimert,56.0518037.92.9241062,2015-12-10,673-86-6024
Devon,Sworn,47.3362701.-1.5349069,2010-03-16,860-55-6759
Dionne,Red,44.2136985.3.9996505,2007-09-29,890-61-0365
Dominic,Speachley,9.9356473.-84.0792946,2015-04-28,775-38-4710
Donn,Fedorski,13.4956.123.289,2008-05-07,357-76-4091
Dov,Leving,26.86889.109.09528,2008-09-03,649-94-2558
Dulci,Camacho,41.01.-85.06,2004-06-09,156-45-3195
Ede,Marriage,-17.3079902.-40.1862129,2016-12-04,824-98-6862
Eduardo,Premble,-17.3079902.-40.1862129,2005-05-31,633-53-1070
Elli,Tabner,-17.3013059.31.3198491,2010-06-01,155-88-6490
Ema,Gilchrist,34.137139.120.227624,2019-05-24,358-53-5303
Emanuel,Doore,32.399108.119.443303,2015-12-21,530-07-9948
Emilia,Tapping,44.1039762.19.2997218,2013-09-27,744-18-4380
Emilio,Kroll,-17.3079902.-40.1862129,2013-07-01,874-96-5035
Emmaline,McCartan,53.0210495.27.554013,2007-03-05,771-87-2553
Erhard,Muncey,53.6190091.-1.2780726,2015-05-24,420-72-9180
Estella,Philipeaux,-23.5113691.-46.872942,2020-11-11,764-12-4773
Fayette,Jonathon,-7.2599544.112.7554346,2012-11-12,715-43-1756
Federica,Padillo,-17.3079902.-40.1862129,2021-09-26,854-37-0425
Ferne,Habgood,9.9356473.-84.0792946,2017-01-07,585-46-3884
Fidelity,Grzegorecki,8.9172672.17.5505152,2006-08-05,837-64-8421
Flem,Sedgmond,-8.154229.111.7778618,2007-12-05,357-95-2612
Flora,Hitcham,33.9041552.-117.9307584,2008-12-03,100-28-5320
Foster,Iacopetti,36.284107.100.620031,2005-08-24,181-84-0736
Francoise,Tuttle,31.267134.120.7062535,2016-01-07,402-38-3933
Franklin,Garbar,47.5113895.1.820875,2019-01-22,608-81-5970
Frederic,Gladdis,34.137139.120.227624,2008-03-27,150-69-6528
Friederike,Boumphrey,-3.3939043.120.3608455,2021-03-21,566-27-5715
Garth,Olford,-6.858925.108.2080973,2018-04-09,812-71-4110
Georgiana,Yarrell,56.907241.24.0317249,2013-10-27,631-29-7307
Gerald,Phillput,59.9416014.10.8972927,2018-04-22,523-75-3526
Gillie,Langhorne,-23.5113691.-46.872942,2011-08-06,586-80-6118
Gino,Darrel,33.9041552.-117.9307584,2007-01-29,852-70-4433
Glynda,Miskimmon,55.8876933.48.3613188,2009-10-13,147-91-6801
Godard,Solman,4.8413815.-72.9899505,2009-05-31,386-65-0950
Godwin,Maskelyne,47.0184615.-68.1430761,2013-11-17,676-41-6549
Guillermo,Greenrodd,29.763892.121.513271,2013-04-16,665-90-8025
Hamish,Feighney,51.965973.21.419225,2013-10-09,744-20-8251
Helyn,Ruzicka,44.1039762.19.2997218,2012-03-30,112-90-0210
Henry,Klebes,40.2740679.22.5416683,2014-07-08,899-39-9866
Herbie,Osburn,14.6031411.121.0959448,2016-02-03,328-19-8133
Hermione,Persent,-7.2763.108.3561,2013-11-26,289-16-7105
Huntlee,Measham,43.4539508.42.0911606,2014-03-02,283-70-1704
Hyacinthia,Crottagh,29.763892.121.513271,2010-07-11,843-69-2139
Iggy,Aizikovich,27.0449005.84.8672171,2013-07-30,820-68-9468
Ignazio,Blade,45.1181926.21.2944883,2014-06-14,119-72-1967
Isabelle,Coton,52.4585616.20.1010662,2015-12-11,856-31-4076
Israel,Daud,40.3159517.-7.9013121,2016-11-01,514-36-5443
Ive,Jermyn,42.6.25.55,2012-11-04,416-67-2388
Jacenta,Meys,55.8876933.48.3613188,2008-04-28,125-26-1788
Jacquette,Aberkirder,41.01.-85.06,2010-07-16,627-76-2063
Jenica,Hearson,4.8413815.-72.9899505,2009-03-26,521-06-3898
Jerald,Deners,33.378118.120.431234,2018-03-05,813-29-1232
Johnette,Robertelli,35.8325673.139.7424494,2021-11-20,756-75-0609
Jonas,Tanswell,10.385548.125.213831,2013-07-14,361-93-0568
Jone,Gallimore,42.6.25.55,2019-07-08,262-82-2743
Joseph,Anshell,8.9172672.17.5505152,2015-01-31,366-15-5243
Julina,Mitrikhin,29.689847.121.28259,2014-05-13,602-01-2380
Kalil,Jako,53.6190091.-1.2780726,2017-01-24,245-79-9487
Karyn,Pahl,27.318852.115.444319,2014-07-25,705-67-3178
Kathryne,Drever,-32.9413658.-60.652833,2014-11-10,251-72-6324
Kingsly,Van Arsdall,45.1099868.20.7477906,2004-02-22,388-45-4886
Laina,Romero,-17.3079902.-40.1862129,2016-01-22,772-32-3854
Larissa,Wortt,43.9332185.-78.8439268,2009-09-22,854-17-1284
Lewiss,Beagles,36.284107.100.620031,2013-11-13,674-84-9845
Lisette,Hazlehurst,-7.2763.108.3561,2012-10-08,769-16-5158
Lisette,Schultes,15.9898714.119.8798268,2020-12-28,191-21-6363
Lisle,Jouanet,40.1598524.116.8212507,2011-12-06,322-04-2202
Lita,Shalloo,-8.0914709.112.718192,2009-05-02,229-58-5624
Lonnie,Marritt,52.3982331.13.2448535,2004-04-23,219-74-1701
Lulita,Gleadhall,11.4297007.122.5987302,2021-03-05,217-54-9881
Mace,Basler,-3.3186067.114.5943784,2013-03-01,657-74-7582
Madelyn,Mucci,56.0518037.92.9241062,2019-11-30,605-87-6782
Madlen,Vinson,51.991495.4.3557381,2006-03-08,638-73-1421
Mallory,Matuszkiewicz,31.19793.94.03543,2021-11-15,634-43-5574
Man,Tartt,-3.3939043.120.3608455,2008-02-23,209-63-3629
Mari,McIlmurray,51.5775677.16.4684556,2005-06-29,678-77-9898
Marilee,Sperry,47.5113895.1.820875,2012-03-14,570-80-1076
Marketa,Baglan,51.6403247.21.7444457,2004-09-04,741-42-1555
Marsha,Giller,13.2944036.123.483279,2010-12-30,145-73-2004
Marylee,Sherred,66.5299478.66.6127258,2014-02-24,703-33-7440
Mata,Scrancher,43.4539508.42.0911606,2012-12-16,513-49-7957
Meaghan,Sawart,25.410654.107.88645,2020-07-14,289-61-6935
Melany,Blyden,4.8413815.-72.9899505,2013-06-02,874-34-9009
Merline,Beagan,51.965973.21.419225,2011-06-07,270-51-4474
Michael,Talboy,-7.3175297.-63.9586111,2020-10-24,668-81-5565
Mitzi,Mauvin,36.284107.100.620031,2013-08-22,355-70-1376
Natale,Sawl,-7.2763.108.3561,2021-08-18,483-03-8389
Nicolina,Brownsmith,31.267134.120.7062535,2014-10-12,753-51-4926
Nikaniki,Sills,40.1598524.116.8212507,2011-08-19,369-05-6941
Nisse,Kemmish,25.410654.107.88645,2005-05-13,872-14-3443
Normie,Martschik,51.5775677.16.4684556,2016-10-30,493-26-7243
Norri,Agglione,-17.3079902.-40.1862129,2009-01-04,843-55-4371
Norry,Egger,52.4585616.20.1010662,2015-05-14,344-80-7802
Olenka,Louys,-10.1573402.123.6010244,2013-07-30,208-99-5785
Pancho,Kivits,23.7221111.-15.9347384,2007-03-21,112-06-9661
Patrica,Coorington,47.0184615.-68.1430761,2012-02-27,456-06-3527
Patten,Kenewel,-7.3175297.-63.9586111,2008-05-14,729-81-9612
Peter,Peacock,20.55832.106.56882,2008-02-20,379-08-4161
Phebe,Winckles,41.1588991.-8.0638522,2011-06-27,842-07-7147
Pier,Kearney,52.3982331.13.2448535,2006-01-01,441-99-2746
Prescott,Isoldi,25.410654.107.88645,2007-04-08,103-21-3591
Quent,Lehrle,26.99.8333333,2007-08-11,887-72-4409
Rhianna,McCutheon,27.0449005.84.8672171,2017-12-13,255-45-8489
Roarke,Sheerman,23.7221111.-15.9347384,2018-01-16,818-03-8049
Rudd,Bonass,9.9356473.-84.0792946,2021-05-28,787-57-3055
Ruy,Beldom,-7.2599544.112.7554346,2004-01-29,141-83-0455
Shelley,Felce,-6.858925.108.2080973,2017-05-21,280-86-7171
Sherie,Dalloway,50.772008.22.956207,2009-08-28,797-94-7639
Sherri,Yakobowitz,-8.154229.111.7778618,2004-04-01,788-94-2157
Sidonnie,Mortlock,-22.2454935.-50.7031569,2009-06-06,803-91-6287
Stanfield,Fuke,41.01.-85.06,2017-08-29,164-58-1433
Stepha,Beales,28.322781.-81.3912772,2018-02-21,807-51-8509
Susette,Jeffreys,-10.1573402.123.6010244,2019-09-20,588-15-3062
Suzanna,Heeks,-17.3013059.31.3198491,2009-02-15,889-85-8026
Suzy,Lashford,-7.5088.108.2386,2009-05-21,147-59-6882
Tannie,Imlock,29.689847.121.28259,2011-09-28,621-70-4146
Thorin,Pitrollo,25.410654.107.88645,2007-02-25,529-46-4489
Tommi,McMurty,15.690893.120.409906,2018-03-25,107-01-5204
Trevar,McJury,25.410654.107.88645,2011-04-15,212-01-2751
Ulick,Childes,52.3982331.13.2448535,2016-07-06,453-32-1941
Valeda,Lohoar,15.690893.120.409906,2004-01-19,712-90-5628
Vonnie,Fuentez,59.9416014.10.8972927,2017-08-18,596-81-5370
Yovonnda,Iacobini,47.3362701.-1.5349069,2013-12-19,856-55-4799
Yule,Seago,14.9269532.-89.7161012,2011-09-10,734-97-2019
